Distance along flowline,lon,lat,surface_height,slope_rad,slope_deg
0.0,10.747035749979561,46.803933623141646,3429.0883334762,0.278718001031764,15.969365133443
100.0,10.747035939476213,46.803033715729285,3400.4716502533934,0.3362059928291559,19.263184436116255
200.0,10.747036128963753,46.802133808174766,3359.1935677782626,0.4077456443109393,23.362104533859267
300.0,10.747036318442177,46.801233900478096,3314.0809281594047,0.4189291090012489,24.002869860947587
400.0,10.74703650791149,46.80033399263927,3270.1358269489647,0.3993629221788005,22.881809934856808
499.89,10.746381444768407,46.79955570588127,3229.672435608026,0.369926547901434,21.195229924596248
599.89,10.74638164514484,46.79865579777944,3192.5800945509654,0.3383838443026252,19.38796613395239
699.89,10.746381845511635,46.797755889535466,3159.288529503856,0.29841440782217976,17.09788611410664
799.89,10.746382045868794,46.79685598114932,3131.060137734059,0.24499909958433716,14.03741439068788
899.89,10.746382246216317,46.79595607262102,3109.2841867344546,0.18549525603658942,10.62809529059518
999.89,10.746382446554206,46.79505616395056,3093.529639937714,0.14413853805045898,8.258529895477125
1099.78,10.74692607243773,46.794238456376405,3080.255165268688,0.1365775425412858,7.825316763884132
1199.78,10.747852736377391,46.793602213806444,3066.0430119324765,0.15023725030523655,8.607960368140594
1299.78,10.748779378475254,46.79296596366123,3049.979586007361,0.16690235602514256,9.562800591030534
1399.66,10.749748817341406,46.79236216001219,3032.3490944569976,0.17870148002611855,10.238840598237973
1499.66,10.75105909670769,46.79236225155108,3013.853920516947,0.1806890815717415,10.352721778155846
1599.66,10.75236937607986,46.79236232808986,2995.812790957417,0.1729706756633585,9.910489695036663
1699.66,10.753679655456864,46.79236238962852,2978.910600267138,0.15999698228643214,9.167151819841953
1799.66,10.754989934837651,46.79236243616709,2963.537518071049,0.14147809425683455,8.106097694470671
1899.66,10.756300214221172,46.79236246770554,2950.4246686952897,0.11950016425108374,6.846855062707217
1999.66,10.757610493606375,46.792362484243895,2939.523065134813,0.10219264762408974,5.8552074061279615
2099.66,10.758920772992212,46.79236248578212,2929.9146918775928,0.09256895969840617,5.303810704635284
2199.66,10.760231052377632,46.79236247232024,2920.956209669959,0.08750022865385755,5.01339380829571
2299.66,10.761541331761583,46.79236244385826,2912.3698471356684,0.0851770755202429,4.880286938576999
2399.6,10.762705650502983,46.79277395375301,2903.879476580544,0.084889097118482,4.863786991565177
2499.6,10.763632226670024,46.79341024695288,2895.3511281955584,0.08430614185704796,4.830386115440061
2599.6,10.764558824678641,46.794046532579515,2886.9781871073114,0.08172383510598506,4.682430837196017
2699.6,10.765485444529576,46.794682810632345,2878.969875971033,0.07934695717136238,4.546245763124365
2799.6,10.766412086223571,46.7953190811109,2871.075407342768,0.07954491110108325,4.5575876878354
2899.6,10.76733874976137,46.79595534401469,2863.027254481748,0.08149326161874756,4.669219949509695
2999.6,10.768265435143713,46.796591599343216,2854.7405783064933,0.0874827920943078,5.012394767024281
3099.6,10.769192142371345,46.797227847095975,2845.485923883105,0.1024787665089472,5.871600810669284
3199.48,10.769969272758507,46.79795108236326,2834.1727742208773,0.12147436988059136,6.959968713168971
3299.48,10.769969465642856,46.79885099057786,2821.0708417701926,0.12892428295875555,7.3868172902870946
3399.48,10.769969658536484,46.7997508986503,2808.2441006269237,0.11858053953465716,6.794164447720059
3499.37,10.770625064154103,46.80052905034407,2797.2429449400925,0.10341274255861377,5.925113696481479
3599.27,10.770719710485013,46.80142576198546,2787.4875076227,0.0941932509799914,5.396875739770013
3699.15,10.771280710778967,46.802237847018056,2778.3483818213012,0.08688716108376601,4.9782676239731245
3799.05,10.77193616550656,46.80301599085955,2770.066213342752,0.07825785312892201,4.483844698041895
3898.94,10.772591639137348,46.80379413083912,2762.6647811346083,0.0715759953044015,4.101002445390404
3998.88,10.773303564128469,46.80454903150739,2755.726517905785,0.06923162075972555,3.9666796783825684
4098.81,10.773902642640119,46.805348754149,2748.79629259752,0.0719699274413882,4.123573094254311
4198.69,10.774782705349836,46.80601413057873,2741.307628785399,0.07992273404287017,4.579235347803008
4298.69,10.775709651227602,46.80665032447899,2732.7776240749586,0.0887774949689547,5.086575777465004
4398.69,10.776636618962403,46.80728651079818,2723.5053359434596,0.09281503291916653,5.317909661636043
4498.69,10.777563608554978,46.80792268953582,2714.161128689179,0.09227432822072779,5.286929564452609
4598.69,10.778490620006073,46.80855886069141,2704.997912989049,0.09228563299744351,5.287577280446758
4698.59,10.779684331807465,46.8089281930089,2695.651425416213,0.09832775033489519,5.633765103205561
4798.47,10.780741286798797,46.80945855546011,2685.268739071804,0.11009209343121269,6.307812311368421
4898.44,10.781834953514746,46.809954118254744,2673.5436169475847,0.11927525861064342,6.8339689187212995
4998.44,10.782762050224608,46.810590254573334,2661.299914540844,0.11973990729394557,6.860591327230823
5098.34,10.783955836194636,46.81095954219695,2649.4805227098204,0.11422962547082911,6.544875434838597
5198.24,10.785149638502212,46.81132881734231,2638.3541004116114,0.10806149798509736,6.191467762407528
5298.24,10.786076797911198,46.81196492664565,2627.7837039648803,0.10333218824701183,5.920498274405107
5398.24,10.78700397918342,46.81260102836287,2617.613791662153,0.1000299807498531,5.731295721741453
5498.13,10.788197838666346,46.81297027159679,2607.710713016079,0.09883579965767705,5.662874185185442
5598.03,10.789391714486328,46.81333950235045,2597.7820139629703,0.10007949645256346,5.7341327625263805
5697.93,10.790345035061247,46.81395580870006,2587.627719121452,0.10344515818754833,5.9269709752096915
5797.81,10.791521343626671,46.81435059734143,2577.0188679817875,0.11127979124419408,6.375862383389173
